year,state,candidate,party,writein,candidate_votes,total_votes
1976,KANSAS,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,1403,957845
1976,KENTUCKY,"CARTER, JIMMY",DEMOCRAT,FALSE,615717,1167142
1976,KENTUCKY,"FORD, GERALD",REPUBLICAN,FALSE,531852,1167142
1976,KENTUCKY,"ANDERSON, THOMAS J.",OTHER,FALSE,8308,1167142
1976,KENTUCKY,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,6837,1167142
1976,KENTUCKY,"MADDOX, LESTER",OTHER,FALSE,2328,1167142
1976,KENTUCKY,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,814,1167142
1976,KENTUCKY,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,510,1167142
1976,KENTUCKY,"HALL, GUS",OTHER,FALSE,426,1167142
1976,KENTUCKY,"CAMEJO, PETER",OTHER,FALSE,350,1167142
1976,LOUISIANA,"CARTER, JIMMY",DEMOCRAT,FALSE,661365,1277383
1976,LOUISIANA,"FORD, GERALD",REPUBLICAN,FALSE,587446,1277383
1976,LOUISIANA,"MADDOX, LESTER",OTHER,FALSE,10058,1277383
1976,LOUISIANA,"HALL, GUS",OTHER,FALSE,7417,1277383
1976,LOUISIANA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,6490,1277383
1976,LOUISIANA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3134,1277383
1976,LOUISIANA,"CAMEJO, PETER",OTHER,FALSE,1473,1277383
1976,MAINE,"FORD, GERALD",REPUBLICAN,FALSE,236320,482968
1976,MAINE,"CARTER, JIMMY",DEMOCRAT,FALSE,232279,482968
1976,MAINE,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,10874,482968
1976,MAINE,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,3495,482968
1976,MARYLAND,"CARTER, JIMMY",DEMOCRAT,FALSE,759612,1432273
1976,MARYLAND,"FORD, GERALD",REPUBLICAN,FALSE,672661,1432273
1976,MASSACHUSETTS,"CARTER, JIMMY",DEMOCRAT,FALSE,1429475,2547558
1976,MASSACHUSETTS,"FORD, GERALD",REPUBLICAN,FALSE,1030276,2547558
1976,MASSACHUSETTS,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,65637,2547558
1976,MASSACHUSETTS,"CAMEJO, PETER",OTHER,FALSE,8138,2547558
1976,MASSACHUSETTS,"ANDERSON, THOMAS J.",OTHER,FALSE,7555,2547558
1976,MASSACHUSETTS,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,4922,2547558
1976,MASSACHUSETTS,SCATTERING,OTHER,FALSE,1401,2547558
1976,MASSACHUSETTS,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,135,2547558
1976,MASSACHUSETTS,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,19,2547558
1976,MICHIGAN,"FORD, GERALD",REPUBLICAN,FALSE,1893742,3651590
1976,MICHIGAN,"CARTER, JIMMY",DEMOCRAT,FALSE,1696714,3651590
1976,MICHIGAN,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,47905,3651590
1976,MICHIGAN,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,5407,3651590
1976,MICHIGAN,"WRIGHT, MARGARET",OTHER,FALSE,3504,3651590
1976,MICHIGAN,"CAMEJO, PETER",OTHER,FALSE,1804,3651590
1976,MICHIGAN,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,1366,3651590
1976,MICHIGAN,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,1148,3651590
1976,MINNESOTA,"CARTER, JIMMY",DEMOCRAT,FALSE,1070440,1949931
1976,MINNESOTA,"FORD, GERALD",REPUBLICAN,FALSE,819395,1949931
1976,MINNESOTA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,35490,1949931
1976,MINNESOTA,"ANDERSON, THOMAS J.",OTHER,FALSE,13592,1949931
1976,MINNESOTA,"CAMEJO, PETER",OTHER,FALSE,4149,1949931
1976,MINNESOTA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3529,1949931
1976,MINNESOTA,"HALL, GUS",OTHER,FALSE,1092,1949931
1976,MINNESOTA,"WRIGHT, MARGARET",OTHER,FALSE,635,1949931
1976,MINNESOTA,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,543,1949931
1976,MINNESOTA,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,370,1949931
1976,MINNESOTA,"ZEIDLER, FRANK",OTHER,FALSE,354,1949931
1976,MINNESOTA,,OTHER,TRUE,342,1949931
1976,MISSISSIPPI,"CARTER, JIMMY",DEMOCRAT,FALSE,381329,768390
1976,MISSISSIPPI,"FORD, GERALD",REPUBLICAN,FALSE,366846,768390
1976,MISSISSIPPI,"ANDERSON, THOMAS J.",OTHER,FALSE,6678,768390
1976,MISSISSIPPI,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,4074,768390
1976,MISSISSIPPI,"MADDOX, LESTER",OTHER,FALSE,4049,768390
1976,MISSISSIPPI,"CAMEJO, PETER",OTHER,FALSE,2805,768390
1976,MISSISSIPPI,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,2609,768390
1976,MISSOURI,"CARTER, JIMMY",DEMOCRAT,FALSE,998387,1953600
1976,MISSOURI,"FORD, GERALD",REPUBLICAN,FALSE,927443,1953600
1976,MISSOURI,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,24029,1953600
1976,MISSOURI,OTHER,OTHER,FALSE,3741,1953600
1976,MONTANA,"FORD, GERALD",REPUBLICAN,FALSE,173703,328734
1976,MONTANA,"CARTER, JIMMY",DEMOCRAT,FALSE,149259,328734
1976,MONTANA,"ANDERSON, THOMAS J.",OTHER,FALSE,5772,328734
1976,NEBRASKA,"FORD, GERALD",REPUBLICAN,FALSE,359219,606749
1976,NEBRASKA,"CARTER, JIMMY",DEMOCRAT,FALSE,233293,606749
1976,NEBRASKA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,9383,606749
1976,NEBRASKA,"MADDOX, LESTER",OTHER,FALSE,3378,606749
1976,NEBRASKA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1476,606749
1976,NEVADA,"FORD, GERALD",REPUBLICAN,FALSE,101273,201876
1976,NEVADA,"CARTER, JIMMY",DEMOCRAT,FALSE,92479,201876
1976,NEVADA,OTHER,OTHER,FALSE,5108,201876
1976,NEVADA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1519,201876
1976,NEVADA,"MADDOX, LESTER",OTHER,FALSE,1497,201876
1976,NEW HAMPSHIRE,"FORD, GERALD",REPUBLICAN,FALSE,185935,339627
1976,NEW HAMPSHIRE,"CARTER, JIMMY",DEMOCRAT,FALSE,147645,339627
1976,NEW HAMPSHIRE,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,4095,339627
1976,NEW HAMPSHIRE,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,936,339627
1976,NEW HAMPSHIRE,SCATTERING,OTHER,FALSE,603,339627
1976,NEW HAMPSHIRE,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,186,339627
1976,NEW HAMPSHIRE,"CAMEJO, PETER",OTHER,FALSE,161,339627
1976,NEW HAMPSHIRE,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,66,339627
1976,NEW JERSEY,"FORD, GERALD",REPUBLICAN,FALSE,1509688,3014472
1976,NEW JERSEY,"CARTER, JIMMY",DEMOCRAT,FALSE,1444653,3014472
1976,NEW JERSEY,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,32717,3014472
1976,NEW JERSEY,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,9449,3014472
1976,NEW JERSEY,"MADDOX, LESTER",OTHER,FALSE,7716,3014472
1976,NEW JERSEY,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,3686,3014472
1976,NEW JERSEY,"HALL, GUS",OTHER,FALSE,1662,3014472
1976,NEW JERSEY,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,1650,3014472
1976,NEW JERSEY,"CAMEJO, PETER",OTHER,FALSE,1184,3014472
1976,NEW JERSEY,"WRIGHT, MARGARET",OTHER,FALSE,1044,3014472
1976,NEW JERSEY,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,554,3014472
1976,NEW JERSEY,"ZEIDLER, FRANK",OTHER,FALSE,469,3014472
1976,NEW MEXICO,"FORD, GERALD",REPUBLICAN,FALSE,211419,416590
1976,NEW MEXICO,"CARTER, JIMMY",DEMOCRAT,FALSE,201148,416590
1976,NEW MEXICO,"CAMEJO, PETER",OTHER,FALSE,2462,416590
1976,NEW MEXICO,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1110,416590
1976,NEW MEXICO,"ZEIDLER, FRANK",OTHER,FALSE,240,416590
1976,NEW MEXICO,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,211,416590
1976,NEW YORK,"CARTER, JIMMY",DEMOCRAT,FALSE,3244165,6668262
1976,NEW YORK,"FORD, GERALD",REPUBLICAN,FALSE,2825913,6668262
1976,NEW YORK,"FORD, GERALD",OTHER,FALSE,274878,6668262
1976,NEW YORK,"CARTER, JIMMY",OTHER,FALSE,145393,6668262
1976,NEW YORK,OTHER,OTHER,FALSE,143037,6668262
1976,NEW YORK,"MACBRIDE, ROGER",OTHER,FALSE,12197,6668262
1976,NEW YORK,"HALL, GUS",OTHER,FALSE,10270,6668262
1976,NEW YORK,"CAMEJO, PETER",OTHER,FALSE,6996,6668262
1976,NEW YORK,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,5413,6668262
1976,NORTH CAROLINA,"CARTER, JIMMY",DEMOCRAT,FALSE,927365,1677906
1976,NORTH CAROLINA,"FORD, GERALD",REPUBLICAN,FALSE,741960,1677906
1976,NORTH CAROLINA,"ANDERSON, THOMAS J.",OTHER,FALSE,5607,1677906
1976,NORTH CAROLINA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,2219,1677906
1976,NORTH CAROLINA,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,755,1677906
1976,NORTH DAKOTA,"FORD, GERALD",REPUBLICAN,FALSE,153684,297308
1976,NORTH DAKOTA,"CARTER, JIMMY",DEMOCRAT,FALSE,136078,297308
1976,NORTH DAKOTA,"ANDERSON, THOMAS J.",OTHER,FALSE,3698,297308
1976,NORTH DAKOTA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,2952,297308
1976,NORTH DAKOTA,"MADDOX, LESTER",OTHER,FALSE,269,297308
1976,NORTH DAKOTA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,256,297308
1976,NORTH DAKOTA,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,142,297308
1976,NORTH DAKOTA,"HALL, GUS",OTHER,FALSE,85,297308
1976,NORTH DAKOTA,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,63,297308
1976,NORTH DAKOTA,"CAMEJO, PETER",OTHER,FALSE,43,297308
1976,NORTH DAKOTA,"ZEIDLER, FRANK",OTHER,FALSE,38,297308
1976,OHIO,"CARTER, JIMMY",DEMOCRAT,FALSE,2009959,4110456
1976,OHIO,"FORD, GERALD",REPUBLICAN,FALSE,2000626,4110456
1976,OHIO,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,58267,4110456
1976,OHIO,"MADDOX, LESTER",OTHER,FALSE,15508,4110456
1976,OHIO,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,8952,4110456
1976,OHIO,"HALL, GUS",OTHER,FALSE,7817,4110456
1976,OHIO,"CAMEJO, PETER",OTHER,FALSE,4833,4110456
1976,OHIO,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,4364,4110456
1976,OHIO,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,68,4110456
1976,OHIO,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,62,4110456
1976,OKLAHOMA,"FORD, GERALD",REPUBLICAN,FALSE,545708,1092251
1976,OKLAHOMA,"CARTER, JIMMY",DEMOCRAT,FALSE,532442,1092251
1976,OKLAHOMA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,14101,1092251
1976,OREGON,"FORD, GERALD",REPUBLICAN,FALSE,492120,1029876
1976,OREGON,"CARTER, JIMMY",DEMOCRAT,FALSE,490407,1029876
1976,OREGON,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,40207,1029876
1976,OREGON,,OTHER,TRUE,6107,1029876
1976,OREGON,"ANDERSON, THOMAS J.",OTHER,FALSE,1035,1029876
1976,PENNSYLVANIA,"CARTER, JIMMY",DEMOCRAT,FALSE,2328677,4620787
1976,PENNSYLVANIA,"FORD, GERALD",REPUBLICAN,FALSE,2205604,4620787
1976,PENNSYLVANIA,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,50584,4620787
1976,PENNSYLVANIA,"MADDOX, LESTER",OTHER,FALSE,25344,4620787
1976,PENNSYLVANIA,"CAMEJO, PETER",OTHER,FALSE,3009,4620787
1976,PENNSYLVANIA,OTHER,OTHER,FALSE,2934,4620787
1976,PENNSYLVANIA,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,2744,4620787
1976,PENNSYLVANIA,"HALL, GUS",OTHER,FALSE,1891,4620787
1976,RHODE ISLAND,"CARTER, JIMMY",DEMOCRAT,FALSE,227636,410584
1976,RHODE ISLAND,"FORD, GERALD",REPUBLICAN,FALSE,181249,410584
1976,RHODE ISLAND,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,715,410584
1976,RHODE ISLAND,"CAMEJO, PETER",OTHER,FALSE,462,410584
1976,RHODE ISLAND,"HALL, GUS",OTHER,FALSE,334,410584
1976,RHODE ISLAND,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,188,410584
1976,SOUTH CAROLINA,"CARTER, JIMMY",DEMOCRAT,FALSE,450807,802583
1976,SOUTH CAROLINA,"FORD, GERALD",REPUBLICAN,FALSE,346149,802583
1976,SOUTH CAROLINA,"ANDERSON, THOMAS J.",OTHER,FALSE,2996,802583
1976,SOUTH CAROLINA,"MADDOX, LESTER",OTHER,FALSE,1950,802583
1976,SOUTH CAROLINA,,OTHER,TRUE,681,802583
1976,SOUTH DAKOTA,"FORD, GERALD",REPUBLICAN,FALSE,151505,300678
1976,SOUTH DAKOTA,"CARTER, JIMMY",DEMOCRAT,FALSE,147068,300678
1976,SOUTH DAKOTA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1619,300678
1976,SOUTH DAKOTA,"HALL, GUS",OTHER,FALSE,318,300678
1976,SOUTH DAKOTA,"CAMEJO, PETER",OTHER,FALSE,168,300678
1976,TENNESSEE,"CARTER, JIMMY",DEMOCRAT,FALSE,825879,1476346
1976,TENNESSEE,"FORD, GERALD",REPUBLICAN,FALSE,633969,1476346
1976,TENNESSEE,"ANDERSON, THOMAS J.",OTHER,FALSE,5769,1476346
1976,TENNESSEE,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,5004,1476346
1976,TENNESSEE,"MADDOX, LESTER",OTHER,FALSE,2303,1476346
1976,TENNESSEE,"MACBRIDE, ROGER",OTHER,FALSE,1375,1476346
1976,TENNESSEE,"HALL, GUS",OTHER,FALSE,547,1476346
1976,TENNESSEE,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,512,1476346
1976,TENNESSEE,"BUBAR, BENJAMIN """"BEN""""",OTHER,FALSE,442,1476346
1976,TENNESSEE,,OTHER,FALSE,316,1476346
1976,TENNESSEE,,OTHER,TRUE,230,1476346
1976,TEXAS,"CARTER, JIMMY",DEMOCRAT,FALSE,2082319,4071884
1976,TEXAS,"FORD, GERALD",REPUBLICAN,FALSE,1953300,4071884
1976,TEXAS,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,20118,4071884
1976,TEXAS,"ANDERSON, THOMAS J.",OTHER,FALSE,11442,4071884
1976,TEXAS,,OTHER,TRUE,2982,4071884
1976,TEXAS,"CAMEJO, PETER",OTHER,FALSE,1723,4071884
1976,UTAH,"FORD, GERALD",REPUBLICAN,FALSE,337908,541218
1976,UTAH,"CARTER, JIMMY",DEMOCRAT,FALSE,182110,541218
1976,UTAH,"ANDERSON, THOMAS J.",OTHER,FALSE,13304,541218
1976,UTAH,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,3907,541218
1976,UTAH,"MACBRIDE, ROGER",OTHER,FALSE,2438,541218
1976,UTAH,"MADDOX, LESTER",OTHER,FALSE,1162,541218
1976,UTAH,"CAMEJO, PETER",OTHER,FALSE,268,541218
1976,UTAH,"HALL, GUS",OTHER,FALSE,121,541218
1976,VERMONT,"FORD, GERALD",REPUBLICAN,FALSE,100387,183902
1976,VERMONT,"CARTER, JIMMY",DEMOCRAT,FALSE,77798,183902
1976,VERMONT,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,4001,183902
1976,VERMONT,OTHER,OTHER,FALSE,1090,183902
1976,VERMONT,"CAMEJO, PETER",OTHER,FALSE,430,183902
1976,VERMONT,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,196,183902
1976,VIRGINIA,"FORD, GERALD",REPUBLICAN,FALSE,836554,1697094
1976,VIRGINIA,"CARTER, JIMMY",DEMOCRAT,FALSE,813896,1697094
1976,VIRGINIA,"CAMEJO, PETER",OTHER,FALSE,17802,1697094
1976,VIRGINIA,"ANDERSON, THOMAS J.",OTHER,FALSE,16686,1697094
1976,VIRGINIA,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,7508,1697094
1976,VIRGINIA,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,4648,1697094
1976,WASHINGTON,"FORD, GERALD",REPUBLICAN,FALSE,777732,1555534
1976,WASHINGTON,"CARTER, JIMMY",DEMOCRAT,FALSE,717323,1555534
1976,WASHINGTON,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,36986,1555534
1976,WASHINGTON,"MADDOX, LESTER",OTHER,FALSE,8585,1555534
1976,WASHINGTON,OTHER,OTHER,FALSE,5482,1555534
1976,WASHINGTON,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,5042,1555534
1976,WASHINGTON,"ANDERSON, THOMAS J.",OTHER,FALSE,1046,1555534
1976,WASHINGTON,"CAMEJO, PETER",OTHER,FALSE,905,1555534
1976,WASHINGTON,"LAROUCHE, LYNDON, JR.",OTHER,FALSE,903,1555534
1976,WASHINGTON,"HALL, GUS",OTHER,FALSE,817,1555534
1976,WASHINGTON,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,713,1555534
1976,WEST VIRGINIA,"CARTER, JIMMY",DEMOCRAT,FALSE,435864,750590
1976,WEST VIRGINIA,"FORD, GERALD",REPUBLICAN,FALSE,314726,750590
1976,WISCONSIN,"CARTER, JIMMY",DEMOCRAT,FALSE,1040232,2101336
1976,WISCONSIN,"FORD, GERALD",REPUBLICAN,FALSE,1004987,2101336
1976,WISCONSIN,"MCCARTHY, EUGENE """"GENE""""",OTHER,FALSE,34943,2101336
1976,WISCONSIN,"MADDOX, LESTER",OTHER,FALSE,8552,2101336
1976,WISCONSIN,"ZEIDLER, FRANK",OTHER,FALSE,4298,2101336
1976,WISCONSIN,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,3814,2101336
1976,WISCONSIN,OTHER,OTHER,FALSE,2430,2101336
1976,WISCONSIN,"CAMEJO, PETER",OTHER,FALSE,1691,2101336
1976,WISCONSIN,"JULIUS """"JULES"""", LEVIN",OTHER,FALSE,389,2101336
